PrimeText,ImagineText,ColorText
"While making decisions during the blocks in which you're presented with one of the names you typed,



Press SPACE to continue.",please imagine that person is in the room with you.,green
"While making decisions during the blocks in which you're presented with one of the words you typed,



Press SPACE to continue.",please think of what that word means to you.,orange
"During the blocks in which you see the word 'Choice',



Press SPACE to continue.",please make your decisions as you normally would without additional considerations.,blue
